comment,compound,positive,negative,neutral
"For clarity: Panels is free! We added an ad free  tier for those who want it, no pressure obviously if you didn't!",0.9016,0.435,0.0,0.565
"upgrading to this from an XR, very excited",0.4005,0.278,0.0,0.722
"Maybe 10 dollars for unlimited access to the app would be fair, a bit on the expensive end though. Imagine paying 50 dollars, now imagine paying 50 a year, thats crazy",-0.0258,0.068,0.071,0.861
"in March 2025, this video hits even harder then ever. As someone with an iPhone 15 pro max I can say that Apple intelligence is a bad joke. Apple is losing the plot.",-0.2023,0.131,0.151,0.718
I wish the pro models came in fun colours,0.7184,0.462,0.0,0.538
"Profound Apple Intelligence - Siri will work!

😝",0.5255,0.253,0.0,0.747
People can’t survive without a stupid phone,0.4168,0.316,0.0,0.684
"Buycutt USA don't buy Tesla! Don't buy Starlink, Heinze, Boing or american veapon. Don't buy anything from USA!",0.0,0.0,0.0,1.0
I'm still using the 13 mini and won't get another iPhone unless the mini comes back. The 6.1 inch screen is way too big and I always drop the big phones with my small hands. Been using iPhone for 10 years but won't get them anymore if the mini doesn't come back.,-0.1406,0.0,0.029,0.971
Thanks for sharing your review! Only a new look only! Staying with my 13!,0.7633,0.354,0.0,0.646
What a terrible app hahahahah. This world is turning into such a joke.,-0.2263,0.135,0.19,0.675
Just came back after watching a vivo x200 pro and I never thought I would say this but the iPhones camera sucks compared to vivo X200 pro I am a life long iPhone user and yeah iPhone sucks,-0.5719,0.063,0.147,0.79
"iPhone 16 este foarte tare, mă gândesc să-mi cumpăr unul singur",0.0,0.0,0.0,1.0
Can we deactivate the camera control if it really bothers us?,-0.2716,0.0,0.173,0.827
"Unfortunately 16 pro max isn’t up to my expectations, 100% won’t give me 9 hours. Have to charge it twice daily😢",-0.6705,0.0,0.208,0.792
I started watching this review for an honest opinion on the new iphone. Then I realized MKBHD is going to sell me his stupid overpriced wallpaper app -.-,-0.0258,0.101,0.104,0.795
Which tasks app do you use?,0.0,0.0,0.0,1.0
"For a difference of 200 USD, 16 or 16 pro?",0.0,0.0,0.0,1.0
is it really safe to use 45w charger (i have a samsung one),0.4927,0.21,0.0,0.79
I'm in EU and i move from 14 to 16 pro and AI isnt there yet but i know 16 is hard number for humanity so will wait to see whats gonna happen in April :),0.5927,0.136,0.04,0.824
i think the tv in the back is roasting apple frrr😭,-0.4767,0.0,0.193,0.807
This is Stephon from weekend update! Absolutely awesome😂,0.8217,0.416,0.093,0.491
"Honestly, truetone is like an eye comfort shield...it's just by night Eyecomfort shield became warmer.",0.8481,0.481,0.0,0.519
60hz trash.,0.0,0.0,0.0,1.0
"apple made a massive changed. iphone 15 is now iphone 16 😂
isheeps are been fooled again!!! 😂",0.6219,0.236,0.178,0.585
The King of 60 hz😂😂😂😂,0.891,0.382,0.191,0.427
Shouldn’t have bought the iPhone 16. Should have gone with S24.,0.0,0.0,0.0,1.0
Apple is insulting us with non 120hz display for this expensive phone,-0.4939,0.0,0.225,0.775
"Apple should go back to releasing ""s"" version of the iphones. it makes more sense releasing major iphone changes every 2 years since yearly upgrades is a thing of the past.",0.0,0.0,0.0,1.0
"Very useful video, you should buy this iPhone",0.4927,0.313,0.0,0.687
"Using iPhone 16 for the last week. Didn’t find any difference from my earlier Redmi note lite, which is still continuing to work.  Had to get  iPhone to supplement my iPad in which I am using Goodnotes for study set and notes. I am a student i can view notes on iPhone during travel when it is not convenient to take iPad. If you are not studying or using any major apps in iPad which you need to view or refer, you may not need an iPhone.",0.0,0.0,0.0,1.0
